Item,Nombre de Columna Original,Nombre de columna para SQL,Tipo de Dato,Característica del Dato,Descripción Funcional,Formula (as IS) en Sheets,Formula (to Be) en SQL,Compliance (S/N),Datalake Xertica (S/N),App Sales Brasil (S/N),Campo Looker/BQ,Riesgo,Observaciones,_match_reason
22,Antigüedad,antiguedad_dias,INT64,Origen Salesforce,"Magnitud temporal absoluta, contabilizada en días, transcurrida desde el momento de inserción del registro comercial.",Resta de fechas base,"DATE_DIFF(CURRENT_DATE(), fecha_creacion, DAY)",N,N,N,Antigüedad,Bajo,"Se debe incluir en el modelo de datos de looker, se debería extraer directamente de SF",
23,Duración de la etapa,duracion_etapa_dias,INT64,Origen Salesforce,"Días transcurridos en el estado secuencial presente, indicativo de estancamiento o flujo dinámico del embudo.",Dato plano,Extracto directo,N,N,S,Duración de la etapa,,"Se debe incluir en el modelo de datos de looker, se debería extraer directamente de SF",overlap2:stage duration
24,Plazo Producto (Meses),plazo_producto_meses,INT64,Origen Salesforce,Dimensión temporal de la cobertura contractual o vigencia del servicio expresada en número de meses.,Dato plano,Extracto directo,S,S,S,Plazo Meses Producto,,,exact
25,Propietario de oportunidad,propietario_oportunidad,STRING,Origen Salesforce,Identificación nominal del ejecutivo comercial o responsable estratégico del negocio.,Dato plano,Extracto directo,N,N,S,Propietario de oportunidad,,,overlap2:opportunity owner
26,País propietario,pais_propietario,STRING,Origen Salesforce,Ubicación geográfica operativa del ejecutivo comercial asignado a la cuenta.,Dato plano,Extracto directo,N,N,N,País propietario,,,
27,Subsegmento de mercado,subsegmento_mercado,STRING,Origen Salesforce,"Taxonomía específica de agrupación de clientes, detallando el nicho objetivo.",Dato plano,Extracto directo,N,N,S,no existe,,"Se debe incluir en el modelo de datos de looker, se debería extraer directamente de SF",exact
28,Nombre Dominio,nombre_dominio_cliente,STRING,Origen Salesforce,Registro del localizador de red o dominio principal de la entidad adquirente.,Dato plano,Extracto directo,S,S,S,Nombre Dominio,,,exact
29,Nombre del producto,nombre_producto,STRING,Origen Salesforce,Identificación del ítem de la lista de control o referencia unívoca de inventario.,Dato plano,Extracto directo,S,S,N,Nombre del producto,,,
30,Fecha de creación,fecha_creacion,DATE,Origen Salesforce,Fecha base originaria de la detección e ingreso de la oportunidad.,Dato plano,CAST(fecha_creacion AS DATE),S,S,S,Fecha de creación,,,overlap2:created date
31,Margen Total $ (convertido) Divisa,margen_moneda_divisa,STRING,Origen Salesforce,Denominación estandarizada que acompaña la proyección de utilidades netas.,Dato plano,Extracto directo,S,N,S,Margen Total $ (convertido) Divisa,,,overlap2:margen total
32,Margen Total $ (convertido),margen_total_moneda,NUMERIC,Origen Salesforce,Proyección económica del beneficio neto comercial post-costos en moneda estándar.,Dato plano,Extracto directo,S,N,S,Margen Total $ (convertido),,Campo debe extrarse directamente de SF,overlap2:margen total
33,Margen Total %,margen_total_porcentaje,NUMERIC,Origen Salesforce,Tasa de rendimiento porcentual estimada sobre la magnitud total del negocio.,División y formato,"(margen_total_moneda / NULLIF(importe_convertido, 0)) * 100",S,S,S,Margen Total porcentaje producto,,Looker lo extrae directamente (se calcula en BQ o SF),exact
34,Precio de venta con descuento fabricante Divisa,precio_dcto_fab_divisa,STRING,Origen Salesforce,Moneda asignada al costo post-reducción autorizada por el fabricante.,Dato plano,Extracto directo,S,S,S,Precio de venta con descuento fabricante Divisa,,,overlap2:descuento fabricante
35,Precio de venta con descuento fabricante,precio_descuento_fabricante,NUMERIC,Origen Salesforce,Valor residual a pagar tras la aplicación de beneficios promocionales trasladados por la entidad matriz productora.,Dato plano,Extracto directo,S,S,S,Precio de venta con descuento fabricante,,,overlap2:descuento fabricante
36,Subsidiaria,entidad_subsidiaria,STRING,Origen Salesforce,Denominación legal del agente corporativo que ejecuta el acto de venta y facturación local.,Dato plano,Extracto directo,N,S,S,Subsidiaria,Alto,"Equipo BI debe incluir en el modelo y fact oportunidad, la subsidaria (razon social de xertica) extraído directamente de SF",exact
37,Fecha de cierre,fecha_cierre,DATE,Origen Salesforce,Proyección temporal de formalización contractual y concreción del flujo comercial.,Dato plano,CAST(fecha_cierre AS DATE),S,S,S,Fecha de cierre,,,overlap2:close date
38,Origen del candidato,origen_candidato,STRING,Origen Salesforce,Identificación de la vía de adquisición primaria del registro de prospección.,Dato plano,Extracto directo,S,N,N,Origen del candidato,,,
39,Forecast,categoria_forecast,STRING,Origen Salesforce,Agrupación directiva para la construcción del pronóstico probabilístico sobre concreciones financieras en un periodo delimitado.,Dato plano,Extracto directo,S,S,S,Forecast Opp,,,exact
40,Fecha de la última modificación,fecha_ultima_modificacion,TIMESTAMP,Origen Salesforce,Huella del sistema indicando el último suceso transaccional registrado.,Dato plano,CAST(fecha_ultima_modificacion AS TIMESTAMP),S,S,N,Fecha de la última modificación,,,
41,Descuento Xertica %,descuento_interno_porcentaje,NUMERIC,Origen Salesforce,Índice de deducción porcentual de naturaleza estratégica concedido por operaciones internas.,Dato plano,Extracto directo,S,S,S,Descuento Xertica %,,,exact
42,Time in stages,tiempo_historico_etapas,INT64,Origen Salesforce,Cuantificación acumulada de jornadas desde la concepción analítica a través de todas sus fases superadas.,Dato plano,Extracto directo,N,N,N,,,,
43,Segmento Consolidado,segmento_consolidado,STRING,Origen Salesforce,"Visión macroscópica unificada que aglutina las subclasificaciones de mercado, facilitando el análisis vertical.",Dato plano,Extracto directo,N,N,S,No existe,,"Se debe incluir en el modelo de datos de looker, se debería extraer directamente de SF",exact
44,Top deal,flag_top_deal,BOOLEAN,Origen Salesforce,Indicador de jerarquía máxima; distingue si la transacción exige un enfoque corporativo priorizado por su escala.,Mapeo de valores 0/1,CAST(top_deal AS BOOL),S,S,S,Top deal,,,exact
45,Top Account,flag_top_account,BOOLEAN,Origen Salesforce,Indicador que exalta cuentas clave de importancia estratégica fundamental para la estructura comercial.,Mapeo de valores 0/1,CAST(top_account AS BOOL),S,S,N,Top Account,,,
46,Origen de la campaña principal,campana_generadora,STRING,Origen Salesforce,Trazabilidad del mecanismo o acción de marketing que indujo de manera principal la captación o maduración de la oportunidad.,Dato plano,Extracto directo,N,N,N,Tipo campaña Opp,Medio,Validar con lorena. Los valores no coinciden con las reglas de negocio. Fact oportunidad > Tipo campaña opp. Puede estar combinando valores de dos columnas y puede traer resultados contaminados,
47,Owner Campaña,propietario_campana,STRING,Origen Salesforce,Gestor primario del esfuerzo programado de captación de leads que influyó en el negocio.,Dato plano,Extracto directo,N,N,N,No existe,Bajo,"Se debe incluir en el modelo de datos de looker, se debería extraer directamente de SF",
48,Calendario facturación,frecuencia_facturacion,STRING,Origen Salesforce,Disposición cronológica estructurada referente a los hitos de desembolso acordados con el cliente adquirente.,Dato plano,Extracto directo,N,N,S,No existe,Medio,"Se debe incluir en el modelo de datos de looker, se debería extraer directamente de SF",exact
49,Fecha Facturación,fecha_facturacion,DATE,Origen Salesforce,Señalamiento exacto del día inicial estimado o formal para la emisión del documento tributario primario.,Dato plano,CAST(fecha_facturacion AS DATE),N,N,S,No existe,Medio,"Se debe incluir en el modelo de datos de looker, se debería extraer directamente de SF",overlap2:fecha de facturacion
50,Id. de la oportunidad,oportunidad_id,STRING,Origen Salesforce,Identificador matricial alfanumérico inmutable que la arquitectura CRM proporciona para la integridad relacional de la información.,Dato plano,Extracto directo,S,S,N,Id. de la oportunidad,,,
51,Propietario de la cuenta,propietario_cuenta,STRING,Origen Salesforce,Recurso humano asignado a la administración a largo plazo de la relación con el cliente comercial.,Dato plano,Extracto directo,S,S,N,Propietario cuenta,,,
52,Industria,industria_primaria,STRING,Origen Salesforce,"Criterio taxonómico formal para segmentar el ámbito comercial de acción primario del cliente (ej. manufactura, bancario).",Dato plano,Extracto directo,S,S,N,Industria,,Campo extraido de SF de la información de la cuenta.,
53,Creado por,usuario_creador,STRING,Origen Salesforce,Nomenclatura del integrante del ecosistema que originó explícitamente el primer evento para la oportunidad en sistema.,Dato plano,Extracto directo,S,S,N,Creado por,,,
54,[Columna de soporte sin título],dim_soporte_1,STRING,Origen Salesforce,Espacio no catalogado inherente a la estructura de extracción del sistema matriz que demanda conservación posicional.,Vacío/Nulo,NULL AS dim_soporte_1,N,,N,,,,
55,[Columna de soporte sin título],dim_soporte_2,STRING,Origen Salesforce,Espacio adyacente no catalogado en cabeceras de origen detectado en la plantilla operativa.,Vacío/Nulo,NULL AS dim_soporte_2,N,,N,,,,
56,Month Creacion,mes_creacion,INT64,Calculado,Desagregación analítica orientada a la segmentación del registro mensual de inicio.,Lógica de obtención =MONTH(),EXTRACT(MONTH FROM fecha_creacion),S,S,N,,,,
57,Q Creación,trimestre_creacion,STRING,Calculado,Enmarcado temporal estratégico correspondiente a la cuarta parte del año natural originaria.,Concatenación condicional,"CONCAT('Q', EXTRACT(QUARTER FROM fecha_creacion))",S,S,N,,,,
58,Año Creacion,ano_creacion,INT64,Calculado,Base referencial a la rotación completa en torno a un ejercicio anual transcurrido en registro.,Extracción de anualidad,EXTRACT(YEAR FROM fecha_creacion),S,S,N,,,,
59,Month Cierre,mes_cierre,INT64,Calculado,Variable que facilita distribuciones agrupadas por meses para métricas operativas conclusivas.,Funcionalidad orientada al mes,EXTRACT(MONTH FROM fecha_cierre),S,S,N,,,,
60,Q cierre,trimestre_cierre,STRING,Calculado,Variable de consolidación temporal que agrupa horizontes trimestrales respecto al término o defunción negociada de oportunidades.,Texto anexado a expresión parcial,"CONCAT('Q', EXTRACT(QUARTER FROM fecha_cierre))",S,S,N,,,,
61,Año cierre,ano_cierre,INT64,Calculado,Agrupador por calendario del término final o prospectado para efectos de presupuestación fiscal.,Función anual,EXTRACT(YEAR FROM fecha_cierre),S,S,N,,,,
62,Sem Creada,semana_creada,DATE,Calculado,"Normalización estricta por agrupador semanal, identificando la fecha base del primer día hábil correspondiente a su concepción.",Operaciones con enteros cronológicos,"DATE_TRUNC(fecha_creacion, ISOWEEK)",N,N,N,,No existe,"Campo calculado a partir de la fecha de creación de la oportunidad. El campo agrupa las oportunidades por su semana de de apertura, etiquetando el periodo con la fecha de inicio de la semana siguiente.",
63,Tipo,clasificacion_tipo_producto,STRING,Calculado,"Asignación fundamental que enmarca si el core es tecnológico (Plataforma), intelectual (Soluciones) o humano (Servicios), clave para márgenes netos. ",Consultas de matrices (VLOOKUP),Instrucciones de condicionalidad por rangos de producto,N,N,N,Fact Oportunidad > Categoría Portafolio,Medio, La regla es estática/hardcodeada. Se debe calcular  nuevamente el campo sobre la base de cada sku (utilizar matriiz de inputs),
64,General Budget,presupuesto_general,STRING,Calculado,"Categorización de ventas: arbol de decisión basado en Familia.
- Aceleradores/ISV/Chrome van directos. 
- GWS Lic/GCP Cons dependen de Tipo. 
- GCP Serv depende de Portafolio. 
- GWS/MSP Serv dependen de Portafolio y Proceso.",Fórmulas anidadas extensas de tipo SI/IFS,Condicionales lógicos multinivel (CASE WHEN) descritos en el cuerpo del informe,N,N,N,No existe,Alto,Se calcula sobre el detalle de la oportunidad (una opp puede tener 2 o mas disntintos generales budget según cada producto cargado a la opp),
65,"Portafolio 1.0, 2.0, 3.0",id_jerarquia_portafolio,INT64,Calculado,"1.0: 100% plat. o <=10% attach serv. 

2.0: 100% serv. o >10% attach serv. 

3.0: Soluciones > $50K",Dato plano,Extracto directo,N,S,N, Fact Oportunidad > Portafolio,Bajo,"1. El código tiene 9 IDs de oportunidad ""hardcodeados"" como 3.0. (""a la fuerza"")
Revisar el cod sql puede ser mas eficiente",
66,Deal Size,tamano_comercial_deal,STRING,Calculado,"""SPLA (Portafolio 1.0/2.0) y BR (Todos): S (<=100k), M (100k-500k), L (500k-1.5M), XL (>=1.5M). 

SPLA (Portafolio 3.0): S (<=75k), M (75k-100k), L (100k-350k), XL (>=350k)""",Parámetros escalonados bajo función IFS,CASE WHEN precio_total_convertido < 10000 THEN 'S' WHEN precio_total_convertido < 50000 THEN 'M'... END,N,S,N, Fact Oportunidad > Tamaño,Bajo,Recalcular campo a partir del TCV total portafolio (Precio total)  y la matriz de criterio descrita en la columna de descripción funcional. NOTA: no incluir en los calculos las lineas tipo Multiaño.,
67,Region,macro_region_operativa,STRING,Calculado,Unificación geográfica a macro-niveles (p.ej. Andes vs México) con fines de balanceamiento geolocalizado de las metas productivas corporativas.,Mapeo referencial mediante identificadores,Agrupación a través de condicionales espaciales inyectados como constantes lógicas,N,S,N,Fact oportunidad > Region cuenta,Medio,"SQL debe actualizarse, solo contempla Brasil, USA y Latam --> TO BE: Brasil, Peru, Mexico, Andes",
68,Etapa Organizada,etapa_alfanumerica,STRING,Calculado,Redefinición reducida de los estadios comerciales para posibilitar una mejor segmentación para la toma de decisiones,Transformaciones de correspondencia literal,"Construcción léxica controlada, v.gr., CASE WHEN etapa = 'Calificar' THEN 'a) Calificar' END",N,N,N,No existe,Bajo,Crear campo etapa organizada en Looker a partir del campo Etapa. La lógica de los IFs se encuentra en el master inputs.,
69,Preventa,recurso_preventa_principal,STRING,Origen Salesforce,"Registro identificatorio del arquitecto funcional que interviene y asesora de forma nativa en la propuesta original, evaluando la factibilidad.",Dato plano,Extracto directo,S,S,S,Fact presales > Nombre Usuario Preventa,,No incluir,exact
70,Preventa Consolidado,recursos_preventa_agrupados,STRING,Calculado (Scripts),"Agrupación exhaustiva, mediada originariamente por automatización imperativa (Apps Script), condensando ingenieros secundarios de preventa interactuantes bajo una cadena separada por comas.",Programación en base a bucles,Transformación estructurada empleando la función generadora STRING_AGG() particionada por identificación única,N,N,N,No existe,,Inlcuir join de preventas extraido directamente de SF,
71,Pipeline ACV,acv_pipeline,NUMERIC,Calculado,El canon analítico para medir aportaciones a los resultados económicos; un cálculo estandarizador que fuerza importes multianuales hacia cuotas asimilables correspondientes a un ciclo perimetral de doce meses calendario.,Criterios divisorios basados en multiplicadores si plazo es aplicable,Ponderación fraccional: CASE WHEN plazo_producto_meses > 12 THEN (precio_total_convertido / plazo_producto_meses) * 12 ELSE precio_total_convertido END,S,S,N,Fact oportunidad > acv total oportunidad,,"La lógica matemática es exacta a la regla de negocio. BI incluyó buenas prácticas: si los meses están en blanco, usa el campo de años negociados; si el plazo es < 12 meses, el ACV iguala al monto total.",
72,Net Revenue ACV,acv_ingreso_neto,NUMERIC,Calculado,"Indicador económico purificado que detrae el gravamen del costo operacional (márgenes), proveyendo visualización prístina sobre flujos de capital neto para la tesorería corporativa.",Ecuación subordinada a características del Tipo de negocio,Cálculo diferencial: CASE WHEN clasificacion_tipo_producto = 'Plataforma' THEN acv_pipeline * (margen_total_porcentaje / 100.0) ELSE acv_pipeline END,S,S,S,Fact oportunidad > MARGEN_TOTAL_PESOS_PRODUCTO_OPORTUNIDAD,Bajo,"Looker extrae el campo pre-calculado
Se validó el cálculo matemático (ACV * Margen)  empíricamente. Alerta de Negocio: Se detectaron oportunidades de Servicios con margen < 100% en Salesforce. El cálculo técnico las procesa bien, pero contradice la regla teórica. Se sugiere revisar.",overlap2:net revenue
73,Segmento Publico/Privado,sector_entidad,STRING,Calculado,"Clasificación binaria dictada por la adscripción gubernamental o libre del nicho operativo, indispensable en cumplimiento normativo y riesgos fiscales.",Sentencias de condicionalidad dicotómica simple,Condicional de partición sobre subsegmento_mercado indicando Público o Privado,N,N,N,No existe,Bajo,"Pendiente sentencia SQL (If Segmento Consolidado es Educativo o Gobierno Then Publico, ELSE Privado)",
74,Pais Subsidiaria,pais_entidad_subsidiaria,STRING,Calculado,Abstracción analítica indispensable concebida mediante el cruce relacional que permite monitorizar y focalizar la adscripción geográfica tributaria a nivel de país y centro de costos.,Funciones de acoplamiento externo de hoja referenciada,Uso de patrones condicionales a nivel texto: CASE WHEN entidad_subsidiaria LIKE '%Colombia%' THEN 'Colombia'... END,N,S,N,Fact oportunidad > pais_subsidiaria,Alto,No cumple con los parametros de negocio. Las reglas  deberían depender del nombre de la subsidiaria de Xertica o del pais origen de la cuenta ( si es que subsidiaria = null) - Revisar matriz de inputs,
75,Portafolio XAI Opp F,agrupacion_f_portafolio,STRING,Calculado,Asignación léxica de orden interno derivante del número de catálogo del Portafolio XAI; asocia nomenclatura semántica en familias (como PORTAFOLIO 1.0).,Asignación dependiente a llaves numéricas,Relación tabular CASE WHEN id_jerarquia_portafolio = 1 THEN 'PORTAFOLIO 1.0' END,N,,N,Fact oportunidad > portafolio,,Redundancia: debe omitirse,
76,Oportunidades Vencidas,estado_vencimiento_oportunidad,STRING,Calculado,Termómetro operativo que denuncia el deterioro procedimental y vigencia temporal al constatar si un proyecto sigue vivo a posteriori de su cota o cierre predeterminado.,Expresión comprobatoria sobre vigencias al día,"Inferencia de estado: CASE WHEN fecha_cierre < CURRENT_DATE() AND etapa NOT IN ('Cierre', 'Perdida') THEN 'Vencida' ELSE 'Ok' END",N,N,N,No existe,Medio,Campo redundante. No incluir en el modelo,
77,Mes Factura,mes_documento_facturacion,INT64,Calculado,"Extrae fraccionalmente el mes a partir del cronograma oficial del devengado y facturación comercial, favoreciendo los esquemas de proyecciones analíticas.",Componente temporal aislado,Ejecución extrayente del mes EXTRACT(MONTH FROM fecha_facturacion),N,N,N,No existe,,"Se debe incluir en el modelo de datos de looker, se debería extraer directamente de SF",
78,Año Factura,ano_documento_facturacion,INT64,Calculado,Recuperación precisa y modular de la anualidad estipulada referencial a los compromisos del inicio del ciclo de tributación.,Segmentación numeral,Operador temporal derivante EXTRACT(YEAR FROM fecha_facturacion),N,N,N,No existe,,"Se debe incluir en el modelo de datos de looker, se debería extraer directamente de SF",
79,Tipo Facturación,recurrencia_facturacion,STRING,Calculado,"Abstracción que provee legibilidad al truncar los caracteres extendidos del campo de cronogramas y mostrar únicamente el tipo de cobro aplicable al cliente (ej. la parte ""Anual"").",Limitadores de formato de texto plano sobre posiciones de string,"Fragmentación mediante funciones constructivas como SPLIT(frecuencia_facturacion, ' ')",N,N,N,No existe,,"Se debería calcular a partir de Calendario Facturación, que debe extraerse desde SF ( La lógica de los IFs se encuentra en el master inputs)",
80,Error Vencimiento,flag_error_vencimiento,INT64,Calculado,"Monitor booleano algorítmico, integrante del motor de detección de calidad de datos, que castiga reportando el número binario '1' en oportunidades que arrastran fechas obsoletas.",Identificador aritmético sujeto al estado evaluado de la condición cronológica,Cuantificación binaria de desviaciones de la oportunidad frente a estado_vencimiento_oportunidad,N,N,N,No existe,,Campo calculado [1/0] si la oportunidad está vencida o no segun fecha de cierre,
81,Error Portafolio/ Producto,flag_error_portafolio,INT64,Calculado,"Sistema de alerta binaria orientada a rastrear colisiones, discordancias lógicas y registros vacíos donde un ítem carece de asociación unívoca o correcta a un portafolio de ventas.",Estructura condicional múltiple evaluativa,CASE WHEN id_jerarquia_portafolio IS NULL THEN 1 ELSE 0 END,N,N,N,No existe,,Campo calculado [1/0] si la oportunidad contiene o no Portafolio de Prod,
82,Error Proceso,flag_error_proceso,INT64,Calculado,"Semáforo binario para mitigar asimetrías conceptuales generadas por el componente humano; detecta incongruencias analíticas cuando una ""Renovación"" es marcada como ""Nuevo"", por ejemplo.",Validación relacional de campos de texto,Declaraciones lógicas del estilo CASE WHEN tipo_oportunidad = 'Renovación' AND proceso = 'Nueva' THEN 1 ELSE 0 END,N,N,N,No existe,,Campo calculado [1/0] si la oportunidad contiene o no valor en Proceso,
83,Error Monto,flag_error_monto,INT64,Calculado,Función detectora analítica que protege la integridad económica cruzando las validaciones monetarias entre el importe basal reportado y el importe resultante del total transaccional convertido.,Cálculos aritméticos comparativos de desigualdad,Instrucción que sanciona cuando se percibe una asimetría cuantitativa CASE WHEN importe_convertido!= precio_total_convertido THEN 1 ELSE 0 END,N,N,N,No existe,,Campo calculado [1/0] si la oportunidad contiene Precio Total < 5 ,
84,Error Calendario o Fecha de Facturación,flag_error_calendario,INT64,Calculado,Parámetro binario orientado a sancionar negligencias de seguimiento cuando una oportunidad madura y clasificada ya para el pronóstico carece de estipulaciones o proyecciones cronológicas vitales en sus campos de factura.,Revisión paramétrica por valores inexistentes condicionales,CASE WHEN fecha_facturacion IS NULL AND categoria_forecast = 'Commit' THEN 1 ELSE 0 END,N,N,S,No existe,,"Campo calculado [1/0] : Si Calendario Facturación o Fecha de facturación es vacío --> 1, si y solo si la Etapa de oportunidad <> {Calificar,  Evaluación, Propuesta}",overlap2:fecha de facturacion
85,Error Segmento,flag_error_segmento,INT64,Calculado,Medidor binario que castiga carencias sistemáticas y lagunas conceptuales impidiendo que la oportunidad permanezca sin asociación consolidada frente al macro mercado corporativo objetivo.,Lógica controladora de celdas ausentes,Detección afirmativa mediante un IS NULL contra la variable de consolidación de mercado,N,N,N,No existe,,Campo calculado [1/0] si Segmento consolidado es vacío,
86,Error Opps Multiaño,flag_error_multiano,INT64,Calculado,Analizador binario garante de cohesión cronológica. Genera infracción técnica sobre el pipeline al determinar una disparidad entre oportunidades concebidas transaccionalmente como múltiples años pero limitadas en cobertura inferior al umbral mensual admisible de 12.,Comprobación de factores dimensionales por dualidad,Relación discriminante algorítmica: CASE WHEN tipo_oportunidad = 'Multiaño' AND plazo_producto_meses <= 12 THEN 1 ELSE 0 END,N,N,N,No existe,,Campo calculado [1/0] si Plazos Meses Producto > 12,
87,Qty Errores,conteo_total_errores,INT64,Calculado,"Tabulador aditivo principal para gobernar el saneamiento analítico de registros. Totaliza el impacto cuantitativo unificando linealmente las diferentes instancias infractoras, logrando centralizar una nota punitiva aplicable por oportunidad transaccional.",Expresiones de adición matemática combinatoria =SUM(),Sumatoria aditiva aritmética total de la familia de variables booleanas/bandera (del ítem 80 al 86 + 95).,N,N,N,No existe,,Sumatoria de los campos boolean de Error,
88,Error Resumen,resumen_narrativo_errores,STRING,Calculado,Generador concatenado de reportes analíticos interpretables para consumo humano; construye secuencias literarias articuladas enlistando alfanuméricamente todo factor problemático asociado para optimizar la toma de decisiones por intervención manual en saneamiento de datos.,Operadores que unen variables lógicas a descripciones de cadenas (TEXTJOIN()),"Concatenación lógica condicionada de subcadenas descriptivas, por ejemplo CONCAT(IF(flag_error_vencimiento=1, 'Error Vencimiento, ', ''),... )",N,N,N,No existe,,"Concatenación de errores según la función : LAMBDA(fila,
      TEXTJOIN("", "", VERDADERO, SI(fila=1, CB$1:CH$1, """"))
    ) ",
