item,campo_origem,campo_sql,tipo_dado,app_sales_brasil_sn,campo_looker_bq,status_implementacao,prioridade_implantacao,calculo_bq_final,create_view_select_expr,prompt_ia_base,criterios_avaliacao_ia,gates_governanca_aplicados,saida_json_esperada_ia,fonte_regra_codigo,tem_prompt_open_literal,tem_prompt_closed_literal,resumo_regras_ouro_open,resumo_json_open,resumo_json_closed,validado_bq_sn,validado_app_headers_sn,app_sales_validado_sn,evidencia_validacao
15,Cantidad,cantidad_unidades,INT64,S,Cantidad,PRONTO,MEDIA,SAFE_CAST(src.`cantidad_unidades` AS INT64),SAFE_CAST(src.`cantidad_unidades` AS INT64) AS `cantidad_unidades`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
16,Precio de venta Divisa,precio_venta_divisa,STRING,N,,PENDENTE,MEDIA,CAST(src.`precio_venta_divisa` AS STRING),CAST(src.`precio_venta_divisa` AS STRING) AS `precio_venta_divisa`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
17,Precio de venta,precio_venta,NUMERIC,S,Precio de venta,PRONTO,MEDIA,SAFE_CAST(src.`precio_venta` AS NUMERIC),SAFE_CAST(src.`precio_venta` AS NUMERIC) AS `precio_venta`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
18,Precio de venta (convertido) Divisa,precio_venta_convert_divisa,STRING,N,,PENDENTE,MEDIA,CAST(src.`precio_venta_convert_divisa` AS STRING),CAST(src.`precio_venta_convert_divisa` AS STRING) AS `precio_venta_convert_divisa`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
19,Precio de venta (convertido),precio_venta_convertido,NUMERIC,S,,PARCIAL,MEDIA,SAFE_CAST(src.`precio_venta_convertido` AS NUMERIC),SAFE_CAST(src.`precio_venta_convertido` AS NUMERIC) AS `precio_venta_convertido`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
20,Precio total Divisa,precio_total_divisa,STRING,S,,PARCIAL,MEDIA,CAST(src.`precio_total_divisa` AS STRING),CAST(src.`precio_total_divisa` AS STRING) AS `precio_total_divisa`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
21,Precio total,precio_total,NUMERIC,S,Total Precio Producto,PRONTO,MEDIA,SAFE_CAST(src.`cantidad_unidades` AS NUMERIC) * SAFE_CAST(src.`precio_venta` AS NUMERIC),SAFE_CAST(src.`cantidad_unidades` AS NUMERIC) * SAFE_CAST(src.`precio_venta` AS NUMERIC) AS `precio_total`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
22,Antigüedad,antiguedad_dias,INT64,S,Antigüedad,PRONTO,BAIXA,"DATE_DIFF(CURRENT_DATE(), fecha_creacion, DAY)","DATE_DIFF(CURRENT_DATE(), fecha_creacion, DAY) AS `antiguedad_dias`",Variáveis de contexto de governança enviadas ao prompt OPEN/CLOSED.,"Critérios de governança operacional: estagnação, incoerências, idle, tempo de funil, mudanças de fase/data, Deal Desk, governo e velocity para suporte da auditoria e priorização tática.","checkInactivityGate + validações de inconsistência (fase x atividade, probabilidade x fase, close date vencida, valores inconsistentes, opp antiga sem evolução, múltiplas mudanças de close date, produtos ausentes), Deal Desk obrigatório (alto valor/serviço), detecção de governo, estagnação e pipeline inflation.",N/A (campo de suporte para decisão e gates),"appscript/SheetCode.gs:governance rules (deal desk, inconsistências, estagnação, pipeline inflation, low win rate)",N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
23,Duración de la etapa,duracion_etapa_dias,INT64,S,Duración de la etapa,PRONTO,MEDIA,SAFE_CAST(src.`duracion_etapa_dias` AS INT64),SAFE_CAST(src.`duracion_etapa_dias` AS INT64) AS `duracion_etapa_dias`,Variáveis de contexto de governança enviadas ao prompt OPEN/CLOSED.,"Critérios de governança operacional: estagnação, incoerências, idle, tempo de funil, mudanças de fase/data, Deal Desk, governo e velocity para suporte da auditoria e priorização tática.","checkInactivityGate + validações de inconsistência (fase x atividade, probabilidade x fase, close date vencida, valores inconsistentes, opp antiga sem evolução, múltiplas mudanças de close date, produtos ausentes), Deal Desk obrigatório (alto valor/serviço), detecção de governo, estagnação e pipeline inflation.",N/A (campo de suporte para decisão e gates),"appscript/SheetCode.gs:governance rules (deal desk, inconsistências, estagnação, pipeline inflation, low win rate)",N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
24,Plazo Producto (Meses),plazo_producto_meses,INT64,S,Plazo Meses Producto,PRONTO,MEDIA,SAFE_CAST(src.`plazo_producto_meses` AS INT64),SAFE_CAST(src.`plazo_producto_meses` AS INT64) AS `plazo_producto_meses`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
25,Propietario de oportunidad,propietario_oportunidad,STRING,S,Propietario de oportunidad,PRONTO,MEDIA,CAST(src.`propietario_oportunidad` AS STRING),CAST(src.`propietario_oportunidad` AS STRING) AS `propietario_oportunidad`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
26,País propietario,pais_propietario,STRING,S,País propietario,PRONTO,MEDIA,CAST(src.`pais_propietario` AS STRING),CAST(src.`pais_propietario` AS STRING) AS `pais_propietario`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
27,Subsegmento de mercado,subsegmento_mercado,STRING,S,no existe,PARCIAL,MEDIA,CAST(src.`subsegmento_mercado` AS STRING),CAST(src.`subsegmento_mercado` AS STRING) AS `subsegmento_mercado`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
28,Nombre Dominio,nombre_dominio_cliente,STRING,S,Nombre Dominio,PRONTO,MEDIA,CAST(src.`nombre_dominio_cliente` AS STRING),CAST(src.`nombre_dominio_cliente` AS STRING) AS `nombre_dominio_cliente`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
29,Nombre del producto,nombre_producto,STRING,S,Nombre del producto,PRONTO,MEDIA,CAST(src.`nombre_producto` AS STRING),CAST(src.`nombre_producto` AS STRING) AS `nombre_producto`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
30,Fecha de creación,fecha_creacion,DATE,S,Fecha de creación,PRONTO,MEDIA,CAST(fecha_creacion AS DATE),CAST(fecha_creacion AS DATE) AS `fecha_creacion`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
31,Margen Total $ (convertido) Divisa,margen_moneda_divisa,STRING,S,Margen Total $ (convertido) Divisa,PRONTO,MEDIA,CAST(src.`margen_moneda_divisa` AS STRING),CAST(src.`margen_moneda_divisa` AS STRING) AS `margen_moneda_divisa`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
32,Margen Total $ (convertido),margen_total_moneda,NUMERIC,S,Margen Total $ (convertido),PRONTO,MEDIA,SAFE_CAST(src.`margen_total_moneda` AS NUMERIC),SAFE_CAST(src.`margen_total_moneda` AS NUMERIC) AS `margen_total_moneda`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
33,Margen Total %,margen_total_porcentaje,NUMERIC,S,Margen Total porcentaje producto,PRONTO,MEDIA,"(margen_total_moneda / NULLIF(importe_convertido, 0)) * 100","(margen_total_moneda / NULLIF(importe_convertido, 0)) * 100 AS `margen_total_porcentaje`",N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
34,Precio de venta con descuento fabricante Divisa,precio_dcto_fab_divisa,STRING,S,Precio de venta con descuento fabricante Divisa,PRONTO,MEDIA,CAST(src.`precio_dcto_fab_divisa` AS STRING),CAST(src.`precio_dcto_fab_divisa` AS STRING) AS `precio_dcto_fab_divisa`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
35,Precio de venta con descuento fabricante,precio_descuento_fabricante,NUMERIC,S,Precio de venta con descuento fabricante,PRONTO,MEDIA,SAFE_CAST(src.`precio_descuento_fabricante` AS NUMERIC),SAFE_CAST(src.`precio_descuento_fabricante` AS NUMERIC) AS `precio_descuento_fabricante`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
36,Subsidiaria,entidad_subsidiaria,STRING,S,Subsidiaria,PRONTO,ALTA,CAST(src.`entidad_subsidiaria` AS STRING),CAST(src.`entidad_subsidiaria` AS STRING) AS `entidad_subsidiaria`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
37,Fecha de cierre,fecha_cierre,DATE,S,Fecha de cierre,PRONTO,MEDIA,CAST(fecha_cierre AS DATE),CAST(fecha_cierre AS DATE) AS `fecha_cierre`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
38,Origen del candidato,origen_candidato,STRING,S,Origen del candidato,PRONTO,MEDIA,CAST(src.`origen_candidato` AS STRING),CAST(src.`origen_candidato` AS STRING) AS `origen_candidato`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
39,Forecast,categoria_forecast,STRING,S,Forecast Opp,PRONTO,MEDIA,CAST(src.`categoria_forecast` AS STRING),CAST(src.`categoria_forecast` AS STRING) AS `categoria_forecast`,"getOpenPrompt: ""Atue como VP de Sales Operations. Audite este deal para Forecast"" + ""REGRA ANTI-ALUCINACAO: Não invente datas, números, fatos ou marcos"" + contexto de deal, atividades, MEDDIC/BANT, personas, velocity e governança.","Regras de Ouro (1-15): gate crítico limita confiança; incoerência Next Step reduz confiança; personas ausentes (>14d) label; gaps MEDDIC/BANT rebaixam qualificação; Deal Desk obrigatório sem evidência => ação CHECAR-DEAL-DESK; incoerência fase/dados => AUDITORIA-CRM; governo exige marcos; ação obrigatória entre códigos permitidos; tier de confiança por tipo+inatividade; qualidade de engajamento obrigatória; regras de ocultação de maturidade, falso engajamento, efeito halo e estagnação de funil.","checkInactivityGate + validações de inconsistência (fase x atividade, probabilidade x fase, close date vencida, valores inconsistentes, opp antiga sem evolução, múltiplas mudanças de close date, produtos ausentes), Deal Desk obrigatório (alto valor/serviço), detecção de governo, estagnação e pipeline inflation.","{forecast_cat, confianca, motivo_confianca, justificativa, engagement_quality, acao_code, acao_desc, check_incoerencia, perguntas_auditoria, gaps_identificados[], risco_principal, evidencia_citada, personas_assessment, labels[]}","appscript/ShareCode.gs:getOpenPrompt|checkInactivityGate|validateNextStepConsistency|computeDealAdjustments_|appscript/SheetCode.gs:governance rules (deal desk, inconsistências, estagnação, pipeline inflation, low win rate)",S,N,"REGRAS DE OURO (estritas):
1) Se houver ""GATE CRÍTICO ACIONADO"" no Gate de Inatividade, CONFIANÇA = máximo 40 e AÇÃO = AUDITORIA-CRM.
2) Se houver ""INCONERENCIA"" na validação de Próximo Passo com Risk Level ""CRITICAL"", CONFIANÇA máximo 35.
...","{
  ""forecast_cat"": ""COMMIT|UPSIDE|PIPELINE"",
  ""confianca"": 50,
  ""motivo_confianca"": ""TL;DR EXECUTIVO: máximo 15 palavras apontando o FATOR LETAL. Exemplos: 'Inatividade 60d e decisor não mapeado.' | 'Renovação orgânica, atrito baixo, cli...",N/A,N,N,N,SEM_EVIDENCIA
40,Fecha de la última modificación,fecha_ultima_modificacion,TIMESTAMP,S,Fecha de la última modificación,PRONTO,MEDIA,CAST(fecha_ultima_modificacion AS TIMESTAMP),CAST(fecha_ultima_modificacion AS TIMESTAMP) AS `fecha_ultima_modificacion`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
41,Descuento Xertica %,descuento_interno_porcentaje,NUMERIC,S,Descuento Xertica %,PRONTO,MEDIA,SAFE_CAST(src.`descuento_interno_porcentaje` AS NUMERIC),SAFE_CAST(src.`descuento_interno_porcentaje` AS NUMERIC) AS `descuento_interno_porcentaje`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
42,Time in stages,tiempo_historico_etapas,INT64,N,,PENDENTE,MEDIA,SAFE_CAST(src.`tiempo_historico_etapas` AS INT64),SAFE_CAST(src.`tiempo_historico_etapas` AS INT64) AS `tiempo_historico_etapas`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
43,Segmento Consolidado,segmento_consolidado,STRING,S,No existe,PARCIAL,MEDIA,CAST(src.`segmento_consolidado` AS STRING),CAST(src.`segmento_consolidado` AS STRING) AS `segmento_consolidado`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,S,S,S,BQ|APP_HEADERS
44,Top deal,flag_top_deal,BOOLEAN,S,Top deal,PRONTO,MEDIA,CAST(top_deal AS BOOL),CAST(top_deal AS BOOL) AS `flag_top_deal`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
45,Top Account,flag_top_account,BOOLEAN,S,Top Account,PRONTO,MEDIA,CAST(top_account AS BOOL),CAST(top_account AS BOOL) AS `flag_top_account`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
46,Origen de la campaña principal,campana_generadora,STRING,S,Tipo campaña Opp,PRONTO,MEDIA,CAST(src.`campana_generadora` AS STRING),CAST(src.`campana_generadora` AS STRING) AS `campana_generadora`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
47,Owner Campaña,propietario_campana,STRING,N,No existe,PENDENTE,BAIXA,CAST(src.`propietario_campana` AS STRING),CAST(src.`propietario_campana` AS STRING) AS `propietario_campana`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
48,Calendario facturación,frecuencia_facturacion,STRING,S,No existe,PARCIAL,MEDIA,CAST(src.`frecuencia_facturacion` AS STRING),CAST(src.`frecuencia_facturacion` AS STRING) AS `frecuencia_facturacion`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
49,Fecha Facturación,fecha_facturacion,DATE,S,No existe,PARCIAL,MEDIA,CAST(fecha_facturacion AS DATE),CAST(fecha_facturacion AS DATE) AS `fecha_facturacion`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
50,Id. de la oportunidad,oportunidad_id,STRING,S,Id. de la oportunidad,PRONTO,MEDIA,CAST(src.`oportunidad_id` AS STRING),CAST(src.`oportunidad_id` AS STRING) AS `oportunidad_id`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
51,Propietario de la cuenta,propietario_cuenta,STRING,S,Propietario cuenta,PRONTO,MEDIA,CAST(src.`propietario_cuenta` AS STRING),CAST(src.`propietario_cuenta` AS STRING) AS `propietario_cuenta`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
52,Industria,industria_primaria,STRING,S,Industria,PRONTO,MEDIA,CAST(src.`industria_primaria` AS STRING),CAST(src.`industria_primaria` AS STRING) AS `industria_primaria`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
53,Creado por,usuario_creador,STRING,S,Creado por,PRONTO,MEDIA,CAST(src.`usuario_creador` AS STRING),CAST(src.`usuario_creador` AS STRING) AS `usuario_creador`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
54,[Columna de soporte sin título],dim_soporte_1,STRING,N,,PENDENTE,MEDIA,CAST(NULL AS STRING),CAST(NULL AS STRING) AS `dim_soporte_1`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
55,[Columna de soporte sin título],dim_soporte_2,STRING,N,,PENDENTE,MEDIA,CAST(NULL AS STRING),CAST(NULL AS STRING) AS `dim_soporte_2`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
56,Month Creacion,mes_creacion,INT64,S,,PRONTO,MEDIA,EXTRACT(MONTH FROM fecha_creacion),EXTRACT(MONTH FROM fecha_creacion) AS `mes_creacion`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
57,Q Creación,trimestre_creacion,STRING,S,,PRONTO,MEDIA,"CONCAT('Q', EXTRACT(QUARTER FROM fecha_creacion))","CONCAT('Q', EXTRACT(QUARTER FROM fecha_creacion)) AS `trimestre_creacion`",N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
58,Año Creacion,ano_creacion,INT64,S,,PRONTO,MEDIA,EXTRACT(YEAR FROM fecha_creacion),EXTRACT(YEAR FROM fecha_creacion) AS `ano_creacion`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
59,Month Cierre,mes_cierre,INT64,S,,PRONTO,MEDIA,EXTRACT(MONTH FROM fecha_cierre),EXTRACT(MONTH FROM fecha_cierre) AS `mes_cierre`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
60,Q cierre,trimestre_cierre,STRING,S,,PRONTO,MEDIA,"CONCAT('Q', EXTRACT(QUARTER FROM fecha_cierre))","CONCAT('Q', EXTRACT(QUARTER FROM fecha_cierre)) AS `trimestre_cierre`",N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
61,Año cierre,ano_cierre,INT64,S,,PRONTO,MEDIA,EXTRACT(YEAR FROM fecha_cierre),EXTRACT(YEAR FROM fecha_cierre) AS `ano_cierre`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
62,Sem Creada,semana_creada,DATE,N,,PENDENTE,MEDIA,"DATE_TRUNC(fecha_creacion, ISOWEEK)","DATE_TRUNC(fecha_creacion, ISOWEEK) AS `semana_creada`",N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
