item,campo_origem,campo_sql,tipo_dado,caracteristica_dado,descricao_funcional,calculo_sheets_as_is,calculo_bq_to_be_original,calculo_bq_final,tipo_calculo_bq,bq_alias_origem,bq_coluna_resultado,compliance_sn,datalake_xertica_sn,app_sales_brasil_sn,campo_looker_bq,status_implementacao,prioridade_implantacao,risco,observacoes_negocio,dataset_referencia,tabela_referencia,create_view_select_expr,prompt_ia_base,criterios_avaliacao_ia,gates_governanca_aplicados,saida_json_esperada_ia,fonte_regra_codigo,prompt_open_literal_completo,prompt_closed_literal_completo,regras_ouro_open_literal,json_schema_open_literal,json_schema_closed_literal,validado_bq_sn,validado_app_headers_sn,app_sales_validado_sn,evidencia_validacao
14,Periodo fiscal,periodo_fiscal,STRING,Origen Salesforce,Denominación del trimestre y año corporativo estipulado para el cierre proyectado de la oportunidad.,Dato plano,Extracto directo,CAST(src.`periodo_fiscal` AS STRING),DIRECT,src,periodo_fiscal,S,N,N,,PARCIAL,MEDIA,,,operaciones-br.sales_intelligence,pipeline,CAST(src.`periodo_fiscal` AS STRING) AS `periodo_fiscal`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
15,Cantidad,cantidad_unidades,INT64,Origen Salesforce,"Volumen absoluto de licencias, módulos u horas de servicio especificadas.",Dato plano,Extracto directo,SAFE_CAST(src.`cantidad_unidades` AS INT64),DIRECT,src,cantidad_unidades,S,S,N,Cantidad,PRONTO,MEDIA,,,operaciones-br.sales_intelligence,pipeline,SAFE_CAST(src.`cantidad_unidades` AS INT64) AS `cantidad_unidades`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
16,Precio de venta Divisa,precio_venta_divisa,STRING,Origen Salesforce,Moneda contractual especificada para el precio unitario del componente.,Dato plano,Extracto directo,CAST(src.`precio_venta_divisa` AS STRING),DIRECT,src,precio_venta_divisa,S,N,N,,PENDENTE,MEDIA,,,operaciones-br.sales_intelligence,pipeline,CAST(src.`precio_venta_divisa` AS STRING) AS `precio_venta_divisa`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
17,Precio de venta,precio_venta,NUMERIC,Origen Salesforce,Tarifa unitaria acordada para el producto o servicio específico en moneda original.,Dato plano,Extracto directo,SAFE_CAST(src.`precio_venta` AS NUMERIC),DIRECT,src,precio_venta,S,N,N,Precio de venta,PRONTO,MEDIA,,,operaciones-br.sales_intelligence,pipeline,SAFE_CAST(src.`precio_venta` AS NUMERIC) AS `precio_venta`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
18,Precio de venta (convertido) Divisa,precio_venta_convert_divisa,STRING,Origen Salesforce,Moneda de reporte tras la conversión del valor unitario.,Dato plano,Extracto directo,CAST(src.`precio_venta_convert_divisa` AS STRING),DIRECT,src,precio_venta_convert_divisa,S,N,N,,PENDENTE,MEDIA,,,operaciones-br.sales_intelligence,pipeline,CAST(src.`precio_venta_convert_divisa` AS STRING) AS `precio_venta_convert_divisa`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
19,Precio de venta (convertido),precio_venta_convertido,NUMERIC,Origen Salesforce,Representación en divisa estándar de la tarifa unitaria acordada.,Dato plano,Extracto directo,SAFE_CAST(src.`precio_venta_convertido` AS NUMERIC),DIRECT,src,precio_venta_convertido,S,N,N,,PARCIAL,MEDIA,,,operaciones-br.sales_intelligence,pipeline,SAFE_CAST(src.`precio_venta_convertido` AS NUMERIC) AS `precio_venta_convertido`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
20,Precio total Divisa,precio_total_divisa,STRING,Origen Salesforce,Denominación monetaria original sobre el monto consolidado de la línea de oportunidad.,Dato plano,Extracto directo,CAST(src.`precio_total_divisa` AS STRING),DIRECT,src,precio_total_divisa,S,N,N,,PARCIAL,MEDIA,,,operaciones-br.sales_intelligence,pipeline,CAST(src.`precio_total_divisa` AS STRING) AS `precio_total_divisa`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
21,Precio total,precio_total,NUMERIC,Origen Salesforce,Agregado financiero bruto resultante del producto de la cantidad y su respectivo precio de venta antes de homogeneizaciones.,Producto aritmético,cantidad_unidades * precio_venta,SAFE_CAST(src.`cantidad_unidades` AS NUMERIC) * SAFE_CAST(src.`precio_venta` AS NUMERIC),CALCULATED,src,precio_total,S,S,N,Total Precio Producto,PRONTO,MEDIA,,"SELECT
    COALESCE(SUM(CASE WHEN (( UPPER(fact_oportunidad.FORECAST_OPORTUNIDAD)  ) IN ('COMMITTED', 'UPSIDE')) THEN fact_oportunidad.PRECIO_TOTAL_PRODUCTO_OPORTUNIDAD  ELSE NULL END), 0) AS fact_oportunidad_total_precio_producto
FROM `co-xertica-datalake-prd.presentation.FACT_OPORTUNIDAD`  AS fact_oportunidad
LIMIT 500",operaciones-br.sales_intelligence,pipeline,SAFE_CAST(src.`cantidad_unidades` AS NUMERIC) * SAFE_CAST(src.`precio_venta` AS NUMERIC) AS `precio_total`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
22,Antigüedad,antiguedad_dias,INT64,Origen Salesforce,"Magnitud temporal absoluta, contabilizada en días, transcurrida desde el momento de inserción del registro comercial.",Resta de fechas base,"DATE_DIFF(CURRENT_DATE(), fecha_creacion, DAY)","DATE_DIFF(CURRENT_DATE(), fecha_creacion, DAY)",CALCULATED,src,antiguedad_dias,N,N,N,Antigüedad,PRONTO,BAIXA,Bajo,"Se debe incluir en el modelo de datos de looker, se debería extraer directamente de SF",operaciones-br.sales_intelligence,pipeline,"DATE_DIFF(CURRENT_DATE(), fecha_creacion, DAY) AS `antiguedad_dias`",Variáveis de contexto de governança enviadas ao prompt OPEN/CLOSED.,"Critérios de governança operacional: estagnação, incoerências, idle, tempo de funil, mudanças de fase/data, Deal Desk, governo e velocity para suporte da auditoria e priorização tática.","checkInactivityGate + validações de inconsistência (fase x atividade, probabilidade x fase, close date vencida, valores inconsistentes, opp antiga sem evolução, múltiplas mudanças de close date, produtos ausentes), Deal Desk obrigatório (alto valor/serviço), detecção de governo, estagnação e pipeline inflation.",N/A (campo de suporte para decisão e gates),"appscript/SheetCode.gs:governance rules (deal desk, inconsistências, estagnação, pipeline inflation, low win rate)",N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
23,Duración de la etapa,duracion_etapa_dias,INT64,Origen Salesforce,"Días transcurridos en el estado secuencial presente, indicativo de estancamiento o flujo dinámico del embudo.",Dato plano,Extracto directo,SAFE_CAST(src.`duracion_etapa_dias` AS INT64),DIRECT,src,duracion_etapa_dias,N,N,N,Duración de la etapa,PRONTO,MEDIA,,"Se debe incluir en el modelo de datos de looker, se debería extraer directamente de SF",operaciones-br.sales_intelligence,pipeline,SAFE_CAST(src.`duracion_etapa_dias` AS INT64) AS `duracion_etapa_dias`,Variáveis de contexto de governança enviadas ao prompt OPEN/CLOSED.,"Critérios de governança operacional: estagnação, incoerências, idle, tempo de funil, mudanças de fase/data, Deal Desk, governo e velocity para suporte da auditoria e priorização tática.","checkInactivityGate + validações de inconsistência (fase x atividade, probabilidade x fase, close date vencida, valores inconsistentes, opp antiga sem evolução, múltiplas mudanças de close date, produtos ausentes), Deal Desk obrigatório (alto valor/serviço), detecção de governo, estagnação e pipeline inflation.",N/A (campo de suporte para decisão e gates),"appscript/SheetCode.gs:governance rules (deal desk, inconsistências, estagnação, pipeline inflation, low win rate)",N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
24,Plazo Producto (Meses),plazo_producto_meses,INT64,Origen Salesforce,Dimensión temporal de la cobertura contractual o vigencia del servicio expresada en número de meses.,Dato plano,Extracto directo,SAFE_CAST(src.`plazo_producto_meses` AS INT64),DIRECT,src,plazo_producto_meses,S,S,N,Plazo Meses Producto,PRONTO,MEDIA,,,operaciones-br.sales_intelligence,pipeline,SAFE_CAST(src.`plazo_producto_meses` AS INT64) AS `plazo_producto_meses`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
25,Propietario de oportunidad,propietario_oportunidad,STRING,Origen Salesforce,Identificación nominal del ejecutivo comercial o responsable estratégico del negocio.,Dato plano,Extracto directo,CAST(src.`propietario_oportunidad` AS STRING),DIRECT,src,propietario_oportunidad,N,N,N,Propietario de oportunidad,PRONTO,MEDIA,,,operaciones-br.sales_intelligence,pipeline,CAST(src.`propietario_oportunidad` AS STRING) AS `propietario_oportunidad`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
26,País propietario,pais_propietario,STRING,Origen Salesforce,Ubicación geográfica operativa del ejecutivo comercial asignado a la cuenta.,Dato plano,Extracto directo,CAST(src.`pais_propietario` AS STRING),DIRECT,src,pais_propietario,N,N,N,País propietario,PRONTO,MEDIA,,,operaciones-br.sales_intelligence,pipeline,CAST(src.`pais_propietario` AS STRING) AS `pais_propietario`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
27,Subsegmento de mercado,subsegmento_mercado,STRING,Origen Salesforce,"Taxonomía específica de agrupación de clientes, detallando el nicho objetivo.",Dato plano,Extracto directo,CAST(src.`subsegmento_mercado` AS STRING),DIRECT,src,subsegmento_mercado,N,N,N,no existe,PARCIAL,MEDIA,,"Se debe incluir en el modelo de datos de looker, se debería extraer directamente de SF",operaciones-br.sales_intelligence,pipeline,CAST(src.`subsegmento_mercado` AS STRING) AS `subsegmento_mercado`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
28,Nombre Dominio,nombre_dominio_cliente,STRING,Origen Salesforce,Registro del localizador de red o dominio principal de la entidad adquirente.,Dato plano,Extracto directo,CAST(src.`nombre_dominio_cliente` AS STRING),DIRECT,src,nombre_dominio_cliente,S,S,N,Nombre Dominio,PRONTO,MEDIA,,,operaciones-br.sales_intelligence,pipeline,CAST(src.`nombre_dominio_cliente` AS STRING) AS `nombre_dominio_cliente`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
29,Nombre del producto,nombre_producto,STRING,Origen Salesforce,Identificación del ítem de la lista de control o referencia unívoca de inventario.,Dato plano,Extracto directo,CAST(src.`nombre_producto` AS STRING),DIRECT,src,nombre_producto,S,S,N,Nombre del producto,PRONTO,MEDIA,,,operaciones-br.sales_intelligence,pipeline,CAST(src.`nombre_producto` AS STRING) AS `nombre_producto`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
30,Fecha de creación,fecha_creacion,DATE,Origen Salesforce,Fecha base originaria de la detección e ingreso de la oportunidad.,Dato plano,CAST(fecha_creacion AS DATE),CAST(fecha_creacion AS DATE),CALCULATED,src,fecha_creacion,S,S,N,Fecha de creación,PRONTO,MEDIA,,,operaciones-br.sales_intelligence,pipeline,CAST(fecha_creacion AS DATE) AS `fecha_creacion`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
31,Margen Total $ (convertido) Divisa,margen_moneda_divisa,STRING,Origen Salesforce,Denominación estandarizada que acompaña la proyección de utilidades netas.,Dato plano,Extracto directo,CAST(src.`margen_moneda_divisa` AS STRING),DIRECT,src,margen_moneda_divisa,S,N,N,Margen Total $ (convertido) Divisa,PRONTO,MEDIA,,,operaciones-br.sales_intelligence,pipeline,CAST(src.`margen_moneda_divisa` AS STRING) AS `margen_moneda_divisa`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
32,Margen Total $ (convertido),margen_total_moneda,NUMERIC,Origen Salesforce,Proyección económica del beneficio neto comercial post-costos en moneda estándar.,Dato plano,Extracto directo,SAFE_CAST(src.`margen_total_moneda` AS NUMERIC),DIRECT,src,margen_total_moneda,S,N,N,Margen Total $ (convertido),PRONTO,MEDIA,,Campo debe extrarse directamente de SF,operaciones-br.sales_intelligence,pipeline,SAFE_CAST(src.`margen_total_moneda` AS NUMERIC) AS `margen_total_moneda`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
33,Margen Total %,margen_total_porcentaje,NUMERIC,Origen Salesforce,Tasa de rendimiento porcentual estimada sobre la magnitud total del negocio.,División y formato,"(margen_total_moneda / NULLIF(importe_convertido, 0)) * 100","(margen_total_moneda / NULLIF(importe_convertido, 0)) * 100",CALCULATED,src,margen_total_porcentaje,S,S,N,Margen Total porcentaje producto,PRONTO,MEDIA,,Looker lo extrae directamente (se calcula en BQ o SF),operaciones-br.sales_intelligence,pipeline,"(margen_total_moneda / NULLIF(importe_convertido, 0)) * 100 AS `margen_total_porcentaje`",N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
34,Precio de venta con descuento fabricante Divisa,precio_dcto_fab_divisa,STRING,Origen Salesforce,Moneda asignada al costo post-reducción autorizada por el fabricante.,Dato plano,Extracto directo,CAST(src.`precio_dcto_fab_divisa` AS STRING),DIRECT,src,precio_dcto_fab_divisa,S,S,N,Precio de venta con descuento fabricante Divisa,PRONTO,MEDIA,,,operaciones-br.sales_intelligence,pipeline,CAST(src.`precio_dcto_fab_divisa` AS STRING) AS `precio_dcto_fab_divisa`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
35,Precio de venta con descuento fabricante,precio_descuento_fabricante,NUMERIC,Origen Salesforce,Valor residual a pagar tras la aplicación de beneficios promocionales trasladados por la entidad matriz productora.,Dato plano,Extracto directo,SAFE_CAST(src.`precio_descuento_fabricante` AS NUMERIC),DIRECT,src,precio_descuento_fabricante,S,S,N,Precio de venta con descuento fabricante,PRONTO,MEDIA,,,operaciones-br.sales_intelligence,pipeline,SAFE_CAST(src.`precio_descuento_fabricante` AS NUMERIC) AS `precio_descuento_fabricante`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
36,Subsidiaria,entidad_subsidiaria,STRING,Origen Salesforce,Denominación legal del agente corporativo que ejecuta el acto de venta y facturación local.,Dato plano,Extracto directo,CAST(src.`entidad_subsidiaria` AS STRING),DIRECT,src,entidad_subsidiaria,N,S,N,Subsidiaria,PRONTO,ALTA,Alto,"Equipo BI debe incluir en el modelo y fact oportunidad, la subsidaria (razon social de xertica) extraído directamente de SF",operaciones-br.sales_intelligence,pipeline,CAST(src.`entidad_subsidiaria` AS STRING) AS `entidad_subsidiaria`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
37,Fecha de cierre,fecha_cierre,DATE,Origen Salesforce,Proyección temporal de formalización contractual y concreción del flujo comercial.,Dato plano,CAST(fecha_cierre AS DATE),CAST(fecha_cierre AS DATE),CALCULATED,src,fecha_cierre,S,S,N,Fecha de cierre,PRONTO,MEDIA,,,operaciones-br.sales_intelligence,pipeline,CAST(fecha_cierre AS DATE) AS `fecha_cierre`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
38,Origen del candidato,origen_candidato,STRING,Origen Salesforce,Identificación de la vía de adquisición primaria del registro de prospección.,Dato plano,Extracto directo,CAST(src.`origen_candidato` AS STRING),DIRECT,src,origen_candidato,S,N,N,Origen del candidato,PRONTO,MEDIA,,,operaciones-br.sales_intelligence,pipeline,CAST(src.`origen_candidato` AS STRING) AS `origen_candidato`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
